"SriLanka_creole","phonetic_transcription","Portuguese_definition","English_definition","pos","Related_languages","pt_related annotations","sources","original_full_entry","original_Portuguese_definition","original_linguistic_notes","page"
"Abaço","abaso","abaixo","below","adverb",,,,"Abaço, abaixo. P. us. V.","abaixo","pouco usado",135
"Aberçà","abeɾsaː","abraçar","hug","verb",,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.","abraçar",,135
"abersà","abeɾsaː","abraçar","hug","verb",,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.","abraçar",,135
"aburçá","abuɾsaː","abraçar","hug","verb",,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.","abraçar",,135
"Aburcé","abuɾseː","aborrecer","annoy","verb",,,,"Aburcé. Mais us. burcé.","Mesmo que burcé",,135
"Ablà","ablaː","soar, atroar, entoar, proclamar","sound, thunder, chant, proclaim","verb","Marathi",,,"Ablà, soar; atroar; entoar; proclamar. — Do port. abalar?","soar, atroar, entoar, proclamar",,135
"Aborcido","aboɾsido","aborrecido","bored","adjective",,,,"Aborcido. P. us. V. borcido.","borcido","pouco usado",135
"Absença","absensa","ausência","absence","noun",,,,"Absença {b pron.), ausência.— íngl. absence.","ausência",,135
"Absente","absente","ausente","absent","adjective","English",,,"Absente, ausente. — Ingl. absent.","ausente",,135
"Abundamente","abundamente","abundantemente","abundantly","adverb",,,,"Abundamente, abundantemente.— De abunda.","abundantemente",,135
"Abysso","abiso","abismo","abyss","noun","Italian, English",,,"Abysso (C. 'À.\ abysmo.— Ital. abisso. Ingl. abyss.","abismo",,135
"Acá","akaː","cá","here","adverb",,"Old Portuguese",,"Acá, cá. — Port. arch. Elii-cid.: acó e aqó. Cfr. alá.","cá",,135
"Acceptà","akseptaː","aceitar","accept","verb","English",,,"Acceptà {p pron.), acceitar. Aoceptação, acceitação. Ao-ceptavel, acceitavel. — Ingl. to accept, etc.","acceitar",,135
"Acceptação","akseptasaːo","aceitação","acceptance","noun","English",,,,"acceitação",,135
"Acceptavel","akseptaʋel","aceitável","acceptable","adjective","English",,,,"acceitavel",,135
"Acoompinhà","akoompiɲaː","acompanhar","accompany","verb",,"Old Portuguese",,"Acoompinhà (ant.). V. com-","acompanhar",,135
"Accordá","akoɾdaː","acordar, fazer bem ao estômago","wake up, make the stomach feel good","verb",,,,"Accordá, accordar; fazer bem ao estômago.","accordar, fazer bem ao estômago",,135
"Acoordança","akooɾdansa","acordo, unanimidade, pacto","agreement, unanimity, pact","noun",,,,"Acoordança, accordancè, accordo ; unanimidade; pacto.—Deriv. norm. de accordá. Cfi-, cuidança, duvidança.","accordo, unanimidade, pacto","derivado norm. de accordá.",135
"accordancè","akoɾdanseː","acordo, unanimidade, pacto","agreement, unanimity, pact","noun",,,,"Acoordança, accordancè, accordo ; unanimidade; pacto.—Deriv. norm. de accordá. Cfi-, cuidança, duvidança.","accordo, unanimidade, pacto","derivado norm. de accordá.",135
"Acento","asento","assenso, consenso","assent","noun","English",,,"Acento, assenso, consenso.— Ingl. assent.","assenso, consenso",,135
"Acerto","aseɾto","casualidade, acaso","chance","noun",,,,"Acerto, casualidade, acaso. Per acerto, por acaso.","casualidade, acaso",,135
"Achar","at̠ʃaɾ","conserva de frutos em vinagre ou em água e sal","fruit preserves in vinegar or water and salt","noun",,"All Portuguese-based creoles of India","Garcia da Horta","Acbar (subs.)^ conserva de fructos em vinagre ou em agua e sal. «E fazem delle (do ana-cardo) quando é verde conserva com sal pêra comer (a que cha-mão qua achar)». Gare. Comm.","conserva de fructos em vinagre ou em agua e sal",,135
"Açorague","asoɾage","açougue","butchery","noun",,,,"Açorague, açougue. — Por equivocação com a^orrague (desus.)?","açougue",,135
"Ade","ade","pato","duck","noun","Macao creole","Old Portuguese, All Portuguese-based creoles of India",,"Ade, adem, pato. Comm. Dial. mac. — Port. arch. na signif.","pato",,135
"adem","adem","pato","duck","noun","Macao creole","Old Portuguese, All Portuguese-based creoles of India",,"Ade, adem, pato. Comm. Dial. mac. — Port. arch. na signif.","pato",,135
"Ade","ade","há de, hei de, etc","it will be, I will be, etc.","verb",,,"Istori de San Clear","Ade (poet.), ha de, hei de, etc. P. us. Cfr. ero.","ha de, hei de, etc","pouco usado, poético",135
"Adéo","adeːo","adeus","goodbye","noun",,,,"Adéo, adeus. 5 apocopado, por se considerar a locução simples e singular. Cfr. simple.","adeus",,135
"Adiôto","adioːto","douto","learned","noun",,,"Istori de San Clear","Adiôto (S. C), douto.","douto",,135
"Adivu","adiʋu","adive, chacal, raposa","jackal, fox","noun",,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135
"adiu","adiu","adive, chacal, raposa","jackal, fox","noun",,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135
"adio","adio","adive, chacal, raposa","jackal, fox","noun",,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135
"adéo","adeːo","adive, chacal, raposa","jackal, fox","noun",,,,"Adivu, aDiu creole, adio, adéo, adibe, adive; chacal; raposa. Cfr. brau.","chacal, raposa",,135
"Adjudà","ad̠ʒudaː","ajudar","help","verb",,,,"Adjudà, ajudar. Mais us. Judá. Cfr. Jitchá.","ajudar",,136
