word,IPA,TRSVG,TRSVG_split,CV
abaço,abaso,VTVSV,V.TV.SV,V.CV.CV
aberçà,abeɾsaː,VTVRSV,V.TVR.SV,V.CVC.CV
abersà,abeɾsaː,VTVRSV,V.TVR.SV,V.CVC.CV
aburçá,abuɾsaː,VTVRSV,V.TVR.SV,V.CVC.CV
aburcé,abuɾseː,VTVRSV,V.TVR.SV,V.CVC.CV
ablà,ablaː,VTRV,V.TRV,V.CCV
aborcido,aboɾsido,VTVRSVTV,V.TVR.SV.TV,V.CVC.CV.CV
absença,absensa,VTSVRSV,V.T.SVR.SV,V.C.CVC.CV
absente,absente,VTSVRTV,V.T.SVR.TV,V.C.CVC.CV
abundamente,abundamente,VTVRTVRVRTV,V.TVR.TV.RVR.TV,V.CVC.CV.CVC.CV
abysso,abiso,VTVSV,V.TV.SV,V.CV.CV
acá,akaː,VTV,V.TV,V.CV
acceptà,akseptaː,VTSVTTV,V.T.SV.T.TV,V.C.CV.C.CV
acceptação,akseptasaːo,VTSVTTVSVV,V.T.SV.T.TV.SV.V,V.C.CV.C.CV.CV.V
acceptavel,akseptaʋel,VTSVTTVTVR,V.T.SV.T.TV.TVR,V.C.CV.C.CV.CVC
acoompinhà,akoompiɲaː,VTVVRTVRV,V.TV.VR.TV.RV,V.CV.VC.CV.CV
accordá,akoɾdaː,VTVRTV,V.TVR.TV,V.CVC.CV
acoordança,akooɾdansa,VTVVRTVRSV,V.TV.VR.TVR.SV,V.CV.VC.CVC.CV
accordancè,akoɾdanseː,VTVRTVRSV,V.TVR.TVR.SV,V.CVC.CVC.CV
acento,asento,VSVRTV,V.SVR.TV,V.CVC.CV
acerto,aseɾto,VSVRTV,V.SVR.TV,V.CVC.CV
achar,at̠ʃaɾ,VTVR,V.TVR,V.CVC
açorague,asoɾage,VSVRVTV,V.SV.RV.TV,V.CV.CV.CV
ade,ade,VTV,V.TV,V.CV
adem,adem,VTVR,V.TVR,V.CVC
ade,ade,VTV,V.TV,V.CV
adéo,adeːo,VTVV,V.TV.V,V.CV.V
adiôto,adioːto,VTVVTV,V.TV.V.TV,V.CV.V.CV
adivu,adiʋu,VTVTV,V.TV.TV,V.CV.CV
adiu,adiu,VTVV,V.TV.V,V.CV.V
adio,adio,VTVV,V.TV.V,V.CV.V
adéo,adeːo,VTVV,V.TV.V,V.CV.V
adjudà,ad̠ʒudaː,VTVTV,V.TV.TV,V.CV.CV
admiral,admiɾal,VTRVRVR,V.TRV.RVR,V.CCV.CVC
adultéria,adulteːɾia,VTVRTVRVV,V.TVR.TV.RV.V,V.CVC.CV.CV.V
adulteração,adulteɾasaːo,VTVRTVRVSVV,V.TVR.TV.RV.SV.V,V.CVC.CV.CV.CV.V
adulterioso,adulteɾiozo,VTVRTVRVVSV,V.TVR.TV.RV.V.SV,V.CVC.CV.CV.V.CV
adulteiroso,adulteiɾozo,VTVRTVGRVSV,V.TVR.TVG.RV.SV,V.CVC.CVV.CV.CV
advocat,adʋokat,VTTVTVT,V.T.TV.TV.T,V.C.CV.CV.C
advogador,adʋogadoɾ,VTTVTVTVR,V.T.TV.TV.TVR,V.C.CV.CV.CVC
affajado,afad̠ʒado,VTVTVTV,V.TV.TV.TV,V.CV.CV.CV
affeçan,afesan,VTVSVR,V.TV.SVR,V.CV.CVC
afflictá,afliktaː,VTRVTTV,V.TRV.T.TV,V.CCV.C.CV
ágô,aːgoː,VTV,V.TV,V.CV
agór,agoːɾ,VTVR,V.TVR,V.CVC
agorra,agora,VTVRV,V.TV.RV,V.CV.CV
agorrè,agoreː,VTVRV,V.TV.RV,V.CV.CV
agradado,agɾadado,VTRVTVTV,V.TRV.TV.TV,V.CCV.CV.CV
aguá,aguaː,VTVV,V.TV.V,V.CV.V
aguvá,aguʋaː,VTVTV,V.TV.TV,V.CV.CV
aindè,aindeː,VVRTV,V.VR.TV,V.VC.CV
aio,aio,VGV,VG.V,VV.V
ajo,ad̠ʒo,VTV,V.TV,V.CV
alà,alaː,VRV,V.RV,V.CV
allá,alaː,VRV,V.RV,V.CV
albre,albɾe,VRTRV,VR.TRV,VC.CCV
àlbri,aːlbɾi,VRTRV,VR.TRV,VC.CCV
àlbir,aːlbiɾ,VRTVR,VR.TVR,VC.CVC
aldeano,aldeano,VRTVVRV,VR.TV.V.RV,VC.CV.V.CV
aldia,aldia,VRTVV,VR.TV.V,VC.CV.V
alegrado,alegɾado,VRVTRVTV,V.RV.TRV.TV,V.CV.CCV.CV
alegroso,alegɾozo,VRVTRVSV,V.RV.TRV.SV,V.CV.CCV.CV
alembrá,alembɾaː,VRVRTRV,V.RVR.TRV,V.CVC.CCV
alembração,alembɾasaːo,VRVRTRVSVV,V.RVR.TRV.SV.V,V.CVC.CCV.CV.V
alfada,alfada,VRTVTV,VR.TV.TV,VC.CV.CV
alfàndago,alfaːndago,VRTVRTVTV,VR.TVR.TV.TV,VC.CVC.CV.CV
alfiato,alfiato,VRTVVTV,VR.TV.V.TV,VC.CV.V.CV
algoso,algozo,VRTVSV,VR.TV.SV,VC.CV.CV
alguems,algems,VRTVRS,VR.TVRS,VC.CVCC
alhum,aʎum,VRVR,V.RVR,V.CVC
alum,alum,VRVR,V.RVR,V.CVC
alhuma,aʎuma,VRVRV,V.RVRV,V.CVCV
algum de alhumas,algum de aʎumas,VRTVR TV VRVRVS,VR.TVR TV V.RVRVS,VC.CVC CV V.CVCVC
alhumhoras,aʎumoɾas,VRVRVRVS,V.RVRV.RVS,V.CVCV.CVC
alhumhoras alhumhoras ,aʎumoɾas aʎumoɾas ,VRVRVRVS VRVRVRVS ,V.RVRV.RVS V.RVRV.RVS ,V.CVCV.CVC V.CVCV.CVC 
allagrá,alagɾaː,VRVTRV,V.RV.TRV,V.CV.CCV
