crioulo,phono,phono_TRSV,phono_CV
Abaço,abaso,V.TV.SV,V.CV.CV
Aberçà,abeɾsaː,V.TVR.SV,V.CVC.CV
abersà,abeɾsaː,V.TVR.SV,V.CVC.CV
aburçá,abuɾsaː,V.TVR.SV,V.CVC.CV
Aburcé,abuɾseː,V.TVR.SV,V.CVC.CV
Ablà,ablaː,V.TRV,V.CCV
Aborcido,aboɾsido,V.TVR.SV.TV,V.CVC.CV.CV
Absença,absensa,V.T.SVR.SV,V.C.CVC.CV
Absente,absente,V.T.SVR.TV,V.C.CVC.CV
Abundamente,abundamente,V.TVR.TV.RVR.TV,V.CVC.CV.CVC.CV
Abysso,abjso,V.TRSSV,V.CCCCV
Acá,akaː,V.TV,V.CV
Acceptà,aseptaː,V.SV.TTV,V.CV.CCV
Acceptação,aseptasaːo,V.SV.TTV.SVV,V.CV.CCV.CVV
Acceptavel,aseptaʋel,V.SV.TTV.TVR,V.CV.CCV.CVC
Acoompinhà,akoompiɲaː,V.TVVR.TV.RV,V.CVVC.CV.CV
Accordá,akoɾdaː,V.TVR.TV,V.CVC.CV
Acoordança,akooɾdansa,V.TVVR.TVR.SV,V.CVVC.CVC.CV
accordancè,akoɾdanseː,V.TVR.TVR.SV,V.CVC.CVC.CV
Acento,asento,V.SVR.TV,V.CVC.CV
Acerto,aseɾto,V.SVR.TV,V.CVC.CV
Achar,at̠ʃaɾ,V.TVR,V.CVC
Açorague,asoɾad̠ʒe,V.SV.RV.TVV,V.CV.CV.CVV
Ade,ade,V.TV,V.CV
adem,adem,V.TVR,V.CVC
Ade,ade,V.TV,V.CV
Adéo,adeːo,V.TVV,V.CVV
Adiôto,adioːto,V.TVV.TV,V.CVV.CV
Adivu,adiʋu,V.TV.TV,V.CV.CV
aDiu creole,adiu kɾeole,V.TVV TRVV.RV,V.CVV CCVV.CV
adio,adio,V.TVV,V.CVV
adéo,adeːo,V.TVV,V.CVV
adibe,adibe,V.TV.TV,V.CV.CV
adive,adiʋe,V.TV.TV,V.CV.CV
Adjudà,ad̠ʒudaː,V.TTV.TV,V.CCV.CV
Admiral,admiɾal,V.TRV.RVR,V.CCV.CVC
Adultéria,adulteːɾia,V.TVR.TV.RVV,V.CVC.CV.CVV
adulteração,adulteɾasaːo,V.TVR.TV.RV.SVV,V.CVC.CV.CV.CVV
Adulterioso,adulteɾiozo,V.TVR.TV.RVV.SV,V.CVC.CV.CVV.CV
adulteiroso,adulteiɾozo,V.TVR.TVV.RV.SV,V.CVC.CVV.CV.CV
Advocat,adʋokat,V.TTV.TV.T,V.CCV.CV.C
Advogador,adʋogadoɾ,V.TTV.TV.TVR,V.CCV.CV.CVC
Affajado,afad̠ʒado,V.TV.TV.TV,V.CV.CV.CV
Affeçan,afesan,V.TV.SVR,V.CV.CVC
Afflictá,afliktaː,V.TRV.TTV,V.CCV.CCV
Ágô,aːgoː,V.TV,V.CV
Agór,agoːɾ,V.TVR,V.CVC
agorra,agora,V.TV.RV,V.CV.CV
agorrè,agoreː,V.TV.RV,V.CV.CV
Agradado,agɾadado,V.TRV.TV.TV,V.CCV.CV.CV
Aguá,aguaː,V.TVV,V.CVV
aguvá,aguʋaː,V.TV.TV,V.CV.CV
Aindè,aindeː,VVR.TV,VVC.CV
Aio,aio,VVV,VVV
Ajo,ad̠ʒo,V.TV,V.CV
Alà,alaː,V.RV,V.CV
allá,alaː,VRRV,VCCV
Albre,albɾe,VR.TRV,VC.CCV
àlbri,aːlbɾi,VR.TRV,VC.CCV
àlbir,aːlbiɾ,VR.TVR,VC.CVC
Aldeano,aldeano,VR.TVV.RV,VC.CVV.CV
Aldia,aldia,VR.TVV,VC.CVV
Alegrado,alegɾado,V.RV.TRV.TV,V.CV.CCV.CV
Alegroso,alegɾozo,V.RV.TRV.SV,V.CV.CCV.CV
Alembrá,alembɾaː,V.RVR.TRV,V.CVC.CCV
Alembração,alembɾasaːo,V.RVR.TRV.SVV,V.CVC.CCV.CVV
Alfada,alfada,VR.TV.TV,VC.CV.CV
Alfàndago,alfaːndago,VR.TVR.TV.TV,VC.CVC.CV.CV
Alfiato,alfiato,VR.TVV.TV,VC.CVV.CV
Algoso,algozo,VR.TV.SV,VC.CV.CV
Alguems,ald̠ʒems,VR.TVVRS,VC.CVVCC
Alhum,aʎum,V.RVR,V.CVC
alum,alum,V.RVR,V.CVC
Alhuma,aʎuma,V.RVRV,V.CVCV
algum de Alhumas,algum de aʎumas,VR.TVR TV V.RVRVS,VC.CVC CV V.CVCVC
Alhumhoras,aʎumoɾas,V.RVRV.RVS,V.CVCV.CVC
Alhumhoras...alhumhoras...,aʎumoɾasaʎumoɾas,V.RVRV.RV.SV.RVRV.RVS,V.CVCV.CV.CV.CVCV.CVC
Allagrá,alagɾaː,VRRV.TRV,VCCV.CCV
allagriá,alagɾiaː,VRRV.TRVV,VCCV.CCVV
Allagre,alagɾe,VRRV.TRV,VCCV.CCV
allagroso,alagɾozo,VRRV.TRV.SV,VCCV.CCV.CV
allegrioso,alegɾiozo,VRRV.TRVV.SV,VCCV.CCVV.CV
Allagria,alagɾia,VRRV.TRVV,VCCV.CCVV
allegri,alegɾi,VRRV.TRV,VCCV.CCV
Almári,almaːɾi,VRRV.RV,VCCV.CV
Almazem,almazem,VRRV.TVR,VCCV.CVC
Almóça,almoːsa,VRRV.SV,VCCV.CV
Alqumas,alqumas,VRqV.RVS,VCqV.CVC
Altividade,altiʋidade,VR.TV.TV.TV.TV,VC.CV.CV.CV.CV
Alumado,alumado,V.RVRV.TV,V.CVCV.CV
Aluminá,aluminaː,V.RVRV.RV,V.CVCV.CV
Alverção,alʋeɾsaːo,VR.TVR.SVV,VC.CVC.CVV
Alvorsà,alʋoɾsaː,VR.TVR.SV,VC.CVC.CV
alversá,alʋeɾsaː,VR.TVR.SV,VC.CVC.CV
Alvoroção,alʋoɾosaːo,VR.TV.RV.SVV,VC.CV.CV.CVV
alvroço,alʋɾoso,VR.TRV.SV,VC.CCV.CV
Causedor,kauzedoɾ,TVV.SV.TVR,CVV.CV.CVC
Depalmião,depalmiaːo,TV.TVRRVVV,CV.CVCCVVV
Amanhão,amaɲaːo,V.RVRVV,V.CVCVV
aminhão,amiɲaːo,V.RVRVV,V.CVCVV
amião,amiaːo,V.RVVV,V.CVVV
amiam,amiam,V.RVVR,V.CVVC
Amaroso,amaɾozo,V.RVRV.SV,V.CVCV.CV
ameroso,ameɾozo,V.RVRV.SV,V.CVCV.CV
amoro,amoɾo,V.RVRV,V.CVCV
Ambal,ambal,VR.TVR,VC.CVC
Améças,ameːsas,V.RV.SVS,V.CV.CVC
Amiçan,amisan,V.RV.SVR,V.CV.CVC
Amizade,amizade,V.RV.TV.TV,V.CV.CV.CV
Amos,amos,V.RVS,V.CVC
Ámper,aːmpeɾ,VR.TVR,VC.CVC
ámperámper,aːmpeɾaːmpeɾ,VR.TV.RVR.TVR,VC.CV.CVC.CVC
Ampér,ampeːɾ,VR.TVR,VC.CVC
Amportà,ampoɾtaː,VR.TVR.TV,VC.CVC.CV
Andà,andaː,VR.TV,VC.CV
andavè,andaʋeː,VR.TV.TV,VC.CV.CV
Anela,anela,V.RVRV,V.CVCV
Anima,anima,V.RVRV,V.CVCV
Anjo-chusmos,and̠ʒot̠ʃuzmos,VR.TV.TVSRVS,VC.CV.CVCCVC
Anjo-cuidador,and̠ʒokuidadoɾ,VR.TV.TVV.TV.TVR,VC.CV.CVV.CV.CVC
Anjo-fallas,and̠ʒofalas,VR.TV.TVRRVS,VC.CV.CVCCVC
Anjo-rosto,and̠ʒoɾosto,VR.TV.RVS.TV,VC.CV.CVC.CV
Anjóla,and̠ʒoːla,VR.TV.RV,VC.CV.CV
Ankerà,ankeɾaː,VR.TV.RV,VC.CV.CV
ancrà,ankɾaː,VR.TRV,VC.CCV
Anno-casa,annokaza,VRRV.TV.SV,VCCV.CV.CV
Anno-dia,annodia,VRRV.TVV,VCCV.CVV
Anoute,anoute,V.RVV.TV,V.CVV.CV
Anciado,ansiado,VR.SVV.TV,VC.CVV.CV
Ansque,anske,VRS.TV,VCC.CV
Antiphono,antifono,VR.TV.TV.RV,VC.CV.CV.CV
Anxiamente,anʃiamente,VR.TVV.RVR.TV,VC.CVV.CVC.CV
Apertamento,apeɾtamento,V.TVR.TV.RVR.TV,V.CVC.CV.CVC.CV
apartamento,apaɾtamento,V.TVR.TV.RVR.TV,V.CVC.CV.CVC.CV
Apinhá,apiɲaː,V.TV.RV,V.CV.CV
Applicação,applikasaːo,V.TTRV.TV.SVV,V.CCCV.CV.CVV
applicaçan,applikasan,V.TTRV.TV.SVR,V.CCCV.CV.CVC
Approval,appɾoʋal,V.TTRV.TVR,V.CCCV.CVC
April,apɾil,V.TRVR,V.CCVC
Aquél,akeːl,V.TVR,V.CVC
aquelle,akele,V.TVRRV,V.CVCCV
Aquelvide,akelʋide,V.TVR.TV.TV,V.CVC.CV.CV
Arco,aɾko,VR.TV,VC.CV
Ária,aːɾia,V.RVV,V.CVV
Arià,aɾiaː,V.RVV,V.CVV
Ariba,aɾiba,V.RV.TV,V.CV.CV
Aromatizàrs,aɾomatizaːɾs,V.RVRV.TV.TVRS,V.CVCV.CV.CVCC
Aros,aɾos,V.RVS,V.CVC
Artaple,aɾtaple,VR.TV.TRV,VC.CV.CCV
Ártei,aːɾtei,VR.TVV,VC.CVV
Articulo,aɾtikulo,VR.TV.TV.RV,VC.CV.CV.CV
Artifiço,aɾtifiso,VR.TV.TV.SV,VC.CV.CV.CV
Artilháris,aɾtiʎaːɾis,VR.TV.RVRVS,VC.CV.CVCVC
Ásper,aːspeɾ,VS.TVR,VC.CVC
Asperà,aspeɾaː,VS.TV.RV,VC.CV.CV
Asperdade,aspeɾdade,VS.TVR.TV.TV,VC.CVC.CV.CV
Assi,asi,VSSV,VCCV
Assilai,asilai,VSSV.RVV,VCCV.CVV
assilei,asilei,VSSV.RVV,VCCV.CVV
Assitanto,asitanto,VSSV.TVR.TV,VCCV.CVC.CV
astanto,astanto,VS.TVR.TV,VC.CVC.CV
Assino,asino,VSSV.RV,VCCV.CV
Assofran,asofɾan,VSSV.TRVR,VCCV.CCVC
Assofrà,asofɾaː,VSSV.TRV,VCCV.CCV
Atà,ataː,V.TV,V.CV
Atarde,ataɾde,V.TVR.TV,V.CVC.CV
Atchà,at̠ʃaː,V.TTV,V.CCV
Até,ateː,V.TV,V.CV
Atramento,atɾamento,V.TRV.RVR.TV,V.CCV.CVC.CV
Atramentá,atɾamentaː,V.TRV.RVR.TV,V.CCV.CVC.CV
atrevimentá,atɾeʋimentaː,V.TRV.TV.RVR.TV,V.CCV.CV.CVC.CV
Atténcia,atːeːnsia,V.TTVR.SVV,V.CCVC.CVV
atténcè,atːeːnseː,V.TTVR.SV,V.CCVC.CV
Attermesan,atːeɾmezan,V.TTVRRV.SVR,V.CCVCCV.CVC
Audénci,audeːnsi,VV.TVR.SV,VV.CVC.CV
Audia,audia,VV.TVV,VV.CVV
Ógost,oːgost,V.TVS.T,V.CVC.C
Avantagem,aʋantad̠ʒem,V.TVR.TV.TVR,V.CVC.CV.CVC
Avelho,aʋeʎo,V.TV.RV,V.CV.CV
Avená,aʋenaː,V.TV.RV,V.CV.CV
Avoà,aʋoaː,V.TVV,V.CVV
Avogado,aʋogado,V.TV.TV.TV,V.CV.CV.CV
Avô-mai,aʋoːmai,V.TV.RVV,V.CV.CVV
Avô-pai,aʋoːpai,V.TV.TVV,V.CV.CVV
Azéte,azeːte,V.TV.TV,V.CV.CV
aziete,aziete,V.TVV.TV,V.CVV.CV
Azeitero,azeiteɾo,V.TVV.TV.RV,V.CVV.CV.CV
azietero,azieteɾo,V.TVV.TV.RV,V.CVV.CV.CV
Baas,bas,TVS,CVC
