crioulo,IPA
Abaço,abaso
Aberçà,abeɾsaː
abersà,abeɾsaː
aburçá,abuɾsaː
Aburcé,abuɾseː
Ablà,ablaː
Aborcido,aboɾsido
Absença,absensa
Absente,absente
Abundamente,abundamente
Abysso,abjso
Acá,akaː
Acceptà,aseptaː
Acceptação,aseptasaːo
Acceptavel,aseptaʋel
Acoompinhà,akoompiɲaː
Accordá,akoɾdaː
Acoordança,akooɾdansa
accordancè,akoɾdanseː
Acento,asento
Acerto,aseɾto
Achar,at̠ʃaɾ
Açorague,asoɾad̠ʒe
Ade,ade
adem,adem
Ade,ade
Adéo,adeːo
Adiôto,adioːto
Adivu,adiʋu
aDiu creole,adiu kɾeole
adio,adio
adéo,adeːo
adibe,adibe
adive,adiʋe
Adjudà,ad̠ʒudaː
Admiral,admiɾal
Adultéria,adulteːɾia
adulteração,adulteɾasaːo
Adulterioso,adulteɾiozo
adulteiroso,adulteiɾozo
Advocat,adʋokat
Advogador,adʋogadoɾ
Affajado,afad̠ʒado
Affeçan,afesan
Afflictá,afliktaː
Ágô,aːgoː
Agór,agoːɾ
agorra,agora
agorrè,agoreː
Agradado,agɾadado
Aguá,aguaː
aguvá,aguʋaː
Aindè,aindeː
Aio,aio
Ajo,ad̠ʒo
Alà,alaː
allá,alaː
Albre,albɾe
àlbri,aːlbɾi
àlbir,aːlbiɾ
Aldeano,aldeano
Aldia,aldia
Alegrado,alegɾado
Alegroso,alegɾozo
Alembrá,alembɾaː
Alembração,alembɾasaːo
Alfada,alfada
Alfàndago,alfaːndago
Alfiato,alfiato
Algoso,algozo
Alguems,ald̠ʒems
Alhum,aʎum
alum,alum
Alhuma,aʎuma
algum de Alhumas,algum de aʎumas
Alhumhoras,aʎumoɾas
Alhumhoras...alhumhoras...,aʎumoɾas aʎumoɾas 
Allagrá,alagɾaː
allagriá,alagɾiaː
Allagre,alagɾe
allagroso,alagɾozo
allegrioso,alegɾiozo
Allagria,alagɾia
allegri,alegɾi
Almári,almaːɾi
Almazem,almazem
Almóça,almoːsa
Alqumas,al k umas
Altividade,altiʋidade
Alumado,alumado
Aluminá,aluminaː
Alverção,alʋeɾsaːo
Alvorsà,alʋoɾsaː
alversá,alʋeɾsaː
Alvoroção,alʋoɾosaːo
alvroço,alʋɾoso
Causedor,kauzedoɾ
Depalmião,depalmiaːo
Amanhão,amaɲaːo
aminhão,amiɲaːo
amião,amiaːo
amiam,amiam
Amaroso,amaɾozo
ameroso,ameɾozo
amoro,amoɾo
Ambal,ambal
Améças,ameːsas
Amiçan,amisan
Amizade,amizade
Amos,amos
Ámper,aːmpeɾ
ámperámper,aːmpeɾaːmpeɾ
Ampér,ampeːɾ
Amportà,ampoɾtaː
Andà,andaː
andavè,andaʋeː
Anela,anela
Anima,anima
Anjo-chusmos,and̠ʒo t̠ʃuzmos
Anjo-cuidador,and̠ʒo kuidadoɾ
Anjo-fallas,and̠ʒo falas
Anjo-rosto,and̠ʒo ɾosto
Anjóla,and̠ʒoːla
Ankerà,ankeɾaː
ancrà,ankɾaː
Anno-casa,anno kaza
Anno-dia,anno dia
Anoute,anoute
Anciado,ansiado
Ansque,anske
Antiphono,antifono
Anxiamente,anʃiamente
Apertamento,apeɾtamento
apartamento,apaɾtamento
Apinhá,apiɲaː
Applicação,applikasaːo
applicaçan,applikasan
Approval,appɾoʋal
April,apɾil
Aquél,akeːl
aquelle,akele
Aquelvide,akelʋide
Arco,aɾko
Ária,aːɾia
Arià,aɾiaː
Ariba,aɾiba
Aromatizàrs,aɾomatizaːɾs
Aros,aɾos
Artaple,aɾtaple
Ártei,aːɾtei
Articulo,aɾtikulo
Artifiço,aɾtifiso
Artilháris,aɾtiʎaːɾis
Ásper,aːspeɾ
Asperà,aspeɾaː
Asperdade,aspeɾdade
Assi,asi
Assilai,asilai
assilei,asilei
Assitanto,asitanto
astanto,astanto
Assino,asino
Assofran,asofɾan
Assofrà,asofɾaː
Atà,ataː
Atarde,ataɾde
Atchà,at̠ʃaː
Até,ateː
Atramento,atɾamento
Atramentá,atɾamentaː
atrevimentá,atɾeʋimentaː
Atténcia,atːeːnsia
atténcè,atːeːnseː
Attermesan,atːeɾmezan
Audénci,audeːnsi
Audia,audia
Ógost,oːgost
Avantagem,aʋantad̠ʒem
Avelho,aʋeʎo
Avená,aʋenaː
Avoà,aʋoaː
Avogado,aʋogado
Avô-mai,aʋoː mai
Avô-pai,aʋoː pai
Azéte,azeːte
aziete,aziete
Azeitero,azeiteɾo
azietero,azieteɾo
Baas,bas
Bàbaro,baːbaɾo
Bêbi,beːbi
Baclà,baklaː
Baclador,bakladoɾ
Bacladura,bakladuɾa
bacaldura,bakalduɾa
Bafa,bafa
Bailo,bailo
Baiso,baizo
baço,baso
Bassá,basaː
Basséza,baseːza
Balança,balansa
Balmaçado,balmasado
Balmo,balmo
Bend,bend
Banda-dentro,banda dentɾo
Banda-fora,banda foɾa
Bandérè,bandeːɾeː
Bandeya,bandeja
Bangià,band̠ʒiaː
Bank,bank
