"Related_languages","pt_related annotations"
,
,
,
,
,
"Marathi",
,
,
"English",
,
"Italian, English",
,"Old Portuguese"
"English",
"English",
"English",
,"Old Portuguese"
,
,
,
"English",
,
,"All Portuguese-based creoles of India"
,
"Macao creole","Old Portuguese, All Portuguese-based creoles of India"
"Macao creole","Old Portuguese, All Portuguese-based creoles of India"
,
,
,
,
,
,
,
,
,
,
"English",
,
,
,
,
"English",
,
,
,
"English",
"Capeverdean creole, Cochin creole, Macao creole",
"Diu creole, Mangalor dialect",
"Diu creole, Mangalor dialect",
"Diu creole, Mangalor dialect",
,
"Macao creole",
"Macao creole",
,
,
,
"Capeverdean creole","Old Portuguese"
"Capeverdean creole","Old Portuguese"
"Capeverdean creole, Macao creole","Old Portuguese"
"Capeverdean creole, Macao creole","Old Portuguese"
"Capeverdean creole, Macao creole","Old Portuguese"
,
,
,
,
"Diu creole","Old Portuguese, Dialectal Portuguese"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Old Portuguese, Dialectal Portuguese"
,
,
,"Old Portuguese"
,
,
,
,
,
,
,
,
"Capeverdean creole",
"Diu creole","Dialectal Portuguese Minho, Porto"
"Diu creole","Dialectal Portuguese Minho, Porto"
"Diu creole","Dialectal Portuguese Minho, Porto"
"Diu creole","Dialectal Portuguese Minho, Porto"
,
,
,
"Dutch",
,
,
,
,"Old Portuguese, Dialectal Portuguese"
,
,
,
,
,
,
"Macao creole",
,
,
,
,
,
,"Old Portuguese"
,
,
,
,
,
,
,
,
,
,"Old Portuguese"
,"Old Portuguese"
,
"English",
"English",
"English",
"English",
,
,
,
,
"Macao creole",
,
,"Dialectal Portuguese"
,
,
"Dutch",
"Dutch",
"English",
,
,"Old Portuguese"
,
,
,
"Capeverdean creole","Old Portuguese"
"Macao creole",
"Macao creole",
,
,
,
,
,
,"Old Portuguese"
,
"Macao creole",
,
,
,
,
"English",
"English",
,
,
,
"English",
,"Old Portuguese"
,
,
,"Old Portuguese, Dialectal Portuguese"
,"Old Portuguese"
,
,
,
,
"Macao creole",
"Macao creole",
"Dutch",
,
"English",
,
,
,
,
"Macao creole",
,"Dialectal Portuguese"
"Macao creole, Singapore creole, Santome",
"Macao creole, Singapore creole, Santome",
,
,
,
,
"English",
"English",
"Macao creole",
"Macao creole",
,
,
"Dutch",
"English",
"English",
"Dutch, English",
,
"Capeverdean creole",
"Capeverdean creole",
,
,
"Macao creole",
,
"English",
"Macao creole",
"Cochin creole",
"Goa creole","All Portuguese-based creoles of India"
,
,
,
"Kannada, Konkani, Marathi","All Portuguese-based creoles of India"
,"Old Portuguese, Dialectal Portuguese, All Portuguese-based creoles of India"
,
,"Dialectal Portuguese, All Portuguese-based creoles of India"
"Dutch",
"Dutch",
"Persian, English","All Portuguese-based creoles of India"
"Persian, English","All Portuguese-based creoles of India"
,
,
,
,
,
,
,
,
"English",
"Macao creole, de Malaca",
"Macao creole, de Malaca",
,
"Cochin creole, Macao creole",
"Cochin creole, Macao creole",
,"Old Portuguese"
,
,
,
,
,
,
"Dutch",
,
"Macao creole, Konkani, Sinhala ",
,
"English",
,
,
"Diu creole, Mangalor dialect",
"English",
"English",
"English",
,
