IPA,count,word_count
.,28654,12138
ˈ,12318,12313
ɐ,10374,7254
ɾ,8130,6715
u,7661,6191
i,6487,5273
t,5637,4886
a,4971,4765
ɨ,4811,4063
d,3736,3172
k,3662,3402
s,3541,3223
̃,2841,1791
l,2611,2537
p,2526,2398
m,2500,2372
j,2500,2416
ʃ,2319,2248
n,1924,1848
w,1716,1653
ẽ,1503,1432
v,1486,1428
b,1480,1418
f,1315,1298
z,1224,1213
ɔ,1210,1122
ʒ,1199,1169
ɛ,1187,1162
ɡ,1180,1158
R,1087,1080
ɫ,968,958
o,797,787
e,753,743
ĩ,679,670
õ,600,595
ʎ,298,298
ɲ,208,208
ũ,145,144
x,46,46
<,46,46
ə,31,25
r,26,25
(,11,11
g,10,10
I,9,9
),9,9
A,9,9
F,9,9
ʀ,6,6
ð,5,5
ʊ,5,5
c,4,3
ˌ,3,3
ɣ,3,3
L,3,3
ɜ,2,2
4,2,2
\,2,2
ʁ,2,2
β,2,2
_,1,1
0,1,1
h,1,1
↔,1,1
̣,1,1
̪,1,1
ł,1,1
ɪ,1,1
ʧ,1,1
ː,1,1
S,1,1
ŋ,1,1
Z,1,1
ô,1,1
é,1,1
