spelling,word
"['ejʃˈseɾtu', 'ejˈʃeɾtu']",excerto
['pɨ.ˈlu.ʃɨ'],peluche
['kõ.tɾi.bwi.ˈsɐ̃w̃'],contribuição
['aɫ.ˈɡɐ̃j̃'],alguém
['ˈkawʃ'],caos
['ˈaɫ.ɡu'],algo
['ɐ.nɐɾ.ˈki.ɐ'],anarquia
['sɨ.ˈlɐj.ɾu'],celeiro
['kɐ.ˈɾjɔ.kɐ'],carioca
['g4a.tiZ'],grátis
['ˈli.vɾɨ'],livre
['ˌwik.sju.ˈna.ɾju'],Wikcionário
['di.sju.ˈna.ɾju'],dicionário
['ɡɾɐ.ˈnɛɫ'],granel
['sɔf.ˈtwɛɾ'],software
['ĩ.ˈgleʃ'],inglês
['puɾ.tu.ˈɡeʃ'],português
['ʃɾɐ̃.ˈseʃ'],francês
['iʒ.lɐ̃.ˈdeʃ'],islandês
['i.ti.mu.lu.ˈʒi.ɐ'],etimologia
[''],brasileiro
['iʒ.Rɐ.ɛ.ˈli.tɐ'],israelita
['ʒu.ˈdew'],judeu
['ˈbɛɫ.ɡɐ'],belga
['u.kɾɐ.ˈnjɐ.nu'],ucraniano
['ˈtaɾ.tɐ.ɾu'],tártaro
['ˈlĩ.ɡwɐ'],língua
['ũ'],um
['ʒɐ.pu.ˈneʃ'],japonês
['nĩ.ˈɡɐ̃j̃'],ninguém
['ˈtu.du'],tudo
['ˈew'],eu
['ˈe.lɨ'],ele
['ˈtɛ.tũ'],tétum
['vjɛt.nɐ.ˈmi.tɐ'],vietnamita
['tɾi.pli.ˈkaɾ'],triplicar
['kwɐ.dɾu.pli.ˈkaɾ'],quadruplicar
['kĩ.tu.pli.ˈkaɾ'],quintuplicar
['ɐ.tɨ.ˈnjẽ.sɨ'],ateniense
['aɫ.fɐ.bɨ.ti.ˈzaɾ'],alfabetizar
['tɾu.vɐ.du.ˈɾeʃ.ku'],trovadoresco
['ew.ɾu.ˈpew'],europeu
['ˈɛ.ti.mu'],étimo
['ô.je'],hoje
['ɔ.ˈmɔ.lu.ɡu'],homólogo
['mɨ.djɛ.ˈvaɫ'],medieval
['Rɨ.ʒiʃ.ˈtaɾ'],registar
['pɐ.ɾi.ˈzjẽ.sɨ'],parisiense
['ɐ̃.ɡuʃ.ˈtjtɨ'],angustiante
['ˈpõ.tɨ'],ponte
['kõ.tɾɐ.pɾu.du.ˈsẽ.tɨ'],contraproducente
['iʃ.tẽ.ˈdeɾ'],estender
['ɐjʃ.tẽ.ˈsɐ̃w̃'],extensão
['ɐ.ˈʒu.dɐ'],ajuda
['iʃ.plɐ.ˈna.dɐ'],esplanada
['kõ.tɾɐ.ˈmɐ̃w̃'],contramão
['ɐ.ˈbɾu.ɲu'],abrunho
['bɨɾ.li.ˈnẽ.sɨ'],berlinense
['ɐ.twaɫ.ˈmẽ.tɨ'],atualmente
['ɐ.ˈla.du'],alado
['i.ˈnɛ.di.tu'],inédito
['dɨ.zẽ.voɫ.vi.ˈmẽ.tu'],desenvolvimento
['paw.lɐ.ˈti.nu'],paulatino
['mɐ.tɨ.ˈɾjaɫ'],material
['vi.ˈɾɔ.zɨ'],virose
['ew.ɾu.pɐ.i.ˈzaɾ'],europeizar
['mɐ.ni.ˈkɔ.mju'],manicómio
['ˈbɐ̃.ku'],banco
['ˈɡa.du'],gado
['nɐ.tu.ˈɾaɫ'],natural
['ɐ.tɐ.ɾɛ.ˈfa.du'],atarefado
['ʒɨɾ.ˈmɐ.ni.ku'],germânico
['li.bɨɾ.ˈda.dɨ'],liberdade
['mẽ.ˈtaɫ'],mental
['ɔ.ˈɾɛ.ɡɐ̃w̃'],orégão
['ow.ˈtɾɔ.ɾɐ'],outrora
['kõ.pu.tɐ.ˈdoɾ'],computador
['dɨ.nu.mi.nɐ.ˈdoɾ'],denominador
['mɨ.dɨ.ˈsi.nɐ'],medicina
['kɐʃ.tɨ.ˈʎɐ.nu'],castelhano
['ɐ.ˈzi.lu'],asilo
['ɔɾ.fɐ.ˈna.tu'],orfanato
['ʒɐ.ˈnɐj.ɾu'],janeiro
['nu.ˈvẽ.bɾu'],novembro
['ˈmeʃ'],mês
['Ru.ˈmɐ.ni.ku'],românico
['ˈba.su'],baço
['St4u.pi.siu_0'],estrupício
['bi.sɛ.ˈtɾiʃ'],bissetriz
['dɨ.ˈzɔɾ.dɐ̃j̃'],desordem
['Rɨ.ˈmɛ.dju'],remédio
['ˈvɛɾ.bu'],verbo
['pu.ˈli.ɡu.nu'],polígono
['ˈɐ.nu'],ano
['ˈɐ̃.tɨʃ'],antes
['ˈɐ̃.ɡu.lu'],ângulo
['ˈbɛ.lu'],belo
['kɐ̃'],cã
['sɛˈɡ.mẽ.tu'],segmento
['ʒju.mɨ.ˈtɾi.ɐ'],geometria
['mɐ.tɨ.ˈma.ti.kɐ'],matemática
['ˈkɐ̃w̃'],cão
['i.ˈbɾaj.ku'],hebraico
['i.ˈta.li.ku'],itálico
['ˈɡɾɔ.ɡɨ'],grogue
['tɾi.ɐ̃.ˈɡu.lu'],triângulo
['kwɐ.dɾi.ˈla.tɨ.ɾu'],quadrilátero
['pẽ.ˈta.ɡu.nu'],pentágono
['ɔˈk.tɔ.ɡu.nu'],octógono
['ˈbɾa.zɐ'],brasa
['ɐ.ʒju.ɡɾɐ.ˈfi.ɐ'],hagiografia
['du.ˈbɾaɾ'],dobrar
['si.ˈnɔ.ni.mu'],sinónimo
['ɐ̃.ˈtɔ.ni.mu'],antónimo
['u.ˈRẽ.du'],horrendo
['ˈlĩ.du'],lindo
['ɡuʃ.ˈto.zu'],gostoso
['kɐ.ˈɲɐ̃w̃'],canhão
['bu.ˈni.tu'],bonito
['ˈɔ.ti.mu'],ótimo
['dɨ.zɐ.ˈsɛ.tɨ'],dezassete
['ˈa.ɾɐ.bɨ'],árabe
['baʃ.kɛ.tˈbɔɫ'],basquetebol
['dɨʃ.ˈpoɾ.tu'],desporto
['fu.tɨ.ˈbɔɫ'],futebol
['nɐ.tɐ.ˈsɐ̃w̃'],natação
['ˈsɛ.lu.lɐ'],célula
['pɾu.ˈvẽ.tu'],provento
['vɔ.lɐj.ˈbɔɫ'],voleibol
['di.ˈɾɐj.tu'],direito
['ɐ̃.ˈɡuʃ.tjɐ'],angústia
['tɐ.ˈpaɾ'],tapar
['pɾu.tɨ.ˈʒeɾ'],proteger
['dɨʃ.ku.ˈbɾiɾ'],descobrir
['ẽ.sɨ.ˈRaɾ'],encerrar
['ɛ.tɨ.ɾɔ.sɛ.ˈkswaɫ'],heterossexual
['ˈdojʃ'],dois
['ˈdu.ɐʃ'],duas
['sɨ.ˈlĩ.dɾu'],cilindro
['Rɛ.ˈtɐ̃.ɡu.lu'],retângulo
['ɡɾɐ.ˈma.ti.kɐ'],gramática
['pɐ.ˈɾa.fɾɐ.zɨ'],paráfrase
['i.di.ˈsɐ̃w̃'],edição
['ɐ.dʒɛ.ˈti.vu'],adjetivo
['bi.ˈnɔ.mju'],binómio
['ẽ.si.klu.ˈpɛ.djɐ'],enciclopédia
['ˈɛ.lɐ'],ela
['kɾu.zɐ.ˈmẽ.tu'],cruzamento
['kwɐ.ˈdɾu.pɨ.dɨ'],quadrúpede
['ˈsa.bɐ.du'],sábado
['du.ˈmĩ.ɡu'],domingo
['ɔ.nɔ.mɐ.tu.ˈpɐj.ɐ'],onomatopeia
['ɐ.tlɛ.ˈtiʒ.mu'],atletismo
['ˈsaɫ.tu'],salto
['kɐ.ˈva.lu'],cavalo
['ˈsɐjʃ'],seis
[''],carro
['bi.si.ˈklɛ.tɐ'],bicicleta
['kwɐ.ˈdɾa.du'],quadrado
['ˈpaɾ.kɨ'],parque
['dɨ.lɨ.ɡɐ.ˈsi.ɐ'],delegacia
['bɐ.ˈRa.kɐ'],barraca
['ˈpaɫ.ku'],palco
['pɐ.ˈla.vɾɐ'],palavra
['bu.zi.ˈliʃ'],busílis
['ẽ.pɨ.ˈsi.ʎu'],empecilho
['ku.ˈRi.dɐ'],corrida
['pɾu.nˈũ.sjɐ'],Wikcionário:Livro de estilo/Modelo
['fɐ.mi.ʒɨ.ˈɾa.du'],famigerado
['i.pɛ.ɾiʃ.ˈpa.su'],hiperespaço
['tɾi.ˈa.tlu'],triatlo
['ki.ˈvi'],kiwi
['ˈpɾe.tu'],preto
['ˈpɾa.tu'],prato
['pɨ.ˈso.ɐ'],pessoa
['iʃ.tɐ.sju.ˈnaɾ'],estacionar
['pɐ.ˈiʃ'],país
['ˈma.pɐ'],mapa
['suɾ.ˈve.tɨ'],sorvete
['ɐ.li.ˈmẽ.tu'],alimento
['ˈplɐ̃.tɐ'],planta
['tɾɐ̃.pu.ˈlĩ'],trampolim
['ˈsuʃ.tu'],susto
